popularity,infinitivo,translation_ru,Presente__1s,Presente__2s,Presente__3s,Presente__1p,Presente__2p,Presente__3p,FuturoSimple__1s,FuturoSimple__2s,FuturoSimple__3s,FuturoSimple__1p,FuturoSimple__2p,FuturoSimple__3p,PreteritoIndefinido__1s,PreteritoIndefinido__2s,PreteritoIndefinido__3s,PreteritoIndefinido__1p,PreteritoIndefinido__2p,PreteritoIndefinido__3p
77,levantar,поднимать,levanto,levantas,levanta,levantamos,levantáis,levantan,levantaré,levantarás,levantará,levantaremos,levantaréis,levantarán,levanté,levantaste,levantó,levantamos,levantasteis,levantaron
78,optar,выбирать,opto,optas,opta,optamos,optáis,optan,optaré,optarás,optará,optaremos,optaréis,optarán,opté,optaste,optó,optamos,optasteis,optaron
79,dirigir,управлять,dirijo,diriges,dirige,dirigimos,dirigís,dirigen,dirigiré,dirigirás,dirigirá,dirigiremos,dirigiréis,dirigirán,dirigí,dirigiste,dirigió,dirigimos,dirigisteis,dirigieron
80,utilizar,использовать,utilizo,utilizas,utiliza,utilizamos,utilizáis,utilizan,utilizaré,utilizarás,utilizará,utilizaremos,utilizaréis,utilizarán,utilicé,utilizaste,utilizó,utilizamos,utilizasteis,utilizaron
81,contar,считать,cuento,cuentas,cuenta,contamos,contáis,cuentan,contaré,contarás,contará,contaremos,contaréis,contarán,conté,contaste,contó,contamos,contasteis,contaron
82,cambiar,менять,cambio,cambias,cambia,cambiamos,cambiáis,cambian,cambiaré,cambiarás,cambiará,cambiaremos,cambiaréis,cambiarán,cambié,cambiaste,cambió,cambiamos,cambiasteis,cambiaron
83,ayudar,помогать,ayudo,ayudas,ayuda,ayudamos,ayudáis,ayudan,ayudaré,ayudarás,ayudará,ayudaremos,ayudaréis,ayudarán,ayudé,ayudaste,ayudó,ayudamos,ayudasteis,ayudaron
84,referir,ссылаться,refiero,refieres,refiere,referimos,referís,refieren,referiré,referirás,referirá,referiremos,referiréis,referirán,referí,referiste,refirió,referimos,referisteis,refirieron
85,defender,защищать,defiendo,defiendes,defiende,defendemos,defendéis,defienden,defenderé,defenderás,defenderá,defenderemos,defenderéis,defenderán,defendí,defendiste,defendió,defendimos,defendisteis,defendieron
86,explicar,объяснять,explico,explicas,explica,explicamos,explicáis,explican,explicaré,explicarás,explicará,explicaremos,explicaréis,explicarán,expliqué,explicaste,explicó,explicamos,explicasteis,explicaron
87,permanecer,оставаться,permanezco,permaneces,permanece,permanecemos,permanecéis,permanecen,permaneceré,permanecerás,permanecerá,permaneceremos,permaneceréis,permanecerán,permanecí,permaneciste,permaneció,permanecimos,permanecisteis,permanecieron
88,guardar,хранить,guardo,guardas,guarda,guardamos,guardáis,guardan,guardaré,guardarás,guardará,guardaremos,guardaréis,guardarán,guardé,guardaste,guardó,guardamos,guardasteis,guardaron
89,tocar,трогать,toco,tocas,toca,tocamos,tocáis,tocan,tocaré,tocarás,tocará,tocaremos,tocaréis,tocarán,toqué,tocaste,tocó,tocamos,tocasteis,tocaron
90,obtener,получать,obtengo,obtienes,obtiene,obtenemos,obtenéis,obtienen,obtendré,obtendrás,obtendrá,obtendremos,obtendréis,obtendrán,obtuve,obtuviste,obtuvo,obtuvimos,obtuvisteis,obtuvieron
91,ocurrir,происходить,ocurro,ocurres,ocurre,ocurrimos,ocurrís,ocurren,ocurriré,ocurrirás,ocurrirá,ocurriremos,ocurriréis,ocurrirán,ocurrí,ocurriste,ocurrió,ocurrimos,ocurristeis,ocurrieron
92,producir,производить,produzco,produces,produce,producimos,producís,producen,produciré,producirás,producirá,produciremos,produciréis,producirán,produje,produjiste,produjo,produjimos,produjisteis,produjeron
93,generar,генерировать,genero,generas,genera,generamos,generáis,generan,generaré,generarás,generará,generaremos,generaréis,generarán,generé,generaste,generó,generamos,generasteis,generaron
94,considerar,считать,considero,consideras,considera,consideramos,consideráis,consideran,consideraré,considerarás,considerará,consideraremos,consideraréis,considerarán,consideré,consideraste,consideró,consideramos,considerasteis,consideraron
95,recoger,собирать,recojo,recoges,recoge,recogemos,recogéis,recogen,recogeré,recogerás,recogerá,recogeremos,recogeréis,recogerán,recogí,recogiste,recogió,recogimos,recogisteis,recogieron
96,pretender,намереваться,pretendo,pretendes,pretende,pretendemos,pretendéis,pretenden,pretenderé,pretenderás,pretenderá,pretenderemos,pretenderéis,pretenderán,pretendí,pretendiste,pretendió,pretendimos,pretendisteis,pretendieron
97,observar,наблюдать,observo,observas,observa,observamos,observáis,observan,observaré,observarás,observará,observaremos,observaréis,observarán,observé,observaste,observó,observamos,observasteis,observaron
98,marcar,отмечать,marco,marcas,marca,marcamos,marcáis,marcan,marcaré,marcarás,marcará,marcaremos,marcaréis,marcarán,marqué,marcaste,marcó,marcamos,marcasteis,marcaron
99,lanzar,запускать,lanzo,lanzas,lanza,lanzamos,lanzáis,lanzan,lanzaré,lanzarás,lanzará,lanzaremos,lanzaréis,lanzarán,lancé,lanzaste,lanzó,lanzamos,lanzasteis,lanzaron
100,depender,зависеть,dependo,dependes,depende,dependemos,dependéis,dependen,dependeré,dependerás,dependerá,dependeremos,dependeréis,dependerán,dependí,dependiste,dependió,dependimos,dependisteis,dependieron
101,colocar,размещать,coloco,colocas,coloca,colocamos,colocáis,colocan,colocaré,colocarás,colocará,colocaremos,colocaréis,colocarán,coloqué,colocaste,colocó,colocamos,colocasteis,colocaron
102,afirmar,утверждать,afirmo,afirmas,afirma,afirmamos,afirmáis,afirman,afirmaré,afirmarás,afirmará,afirmaremos,afirmaréis,afirmarán,afirmé,afirmaste,afirmó,afirmamos,afirmasteis,afirmaron
103,cubrir,покрывать,cubro,cubres,cubre,cubrimos,cubrís,cubren,cubriré,cubrirás,cubrirá,cubriremos,cubriréis,cubrirán,cubrí,cubriste,cubrió,cubrimos,cubristeis,cubrieron
104,representar,представлять,represento,representas,representa,representamos,representáis,representan,representaré,representarás,representará,representaremos,representaréis,representarán,representé,representaste,representó,representamos,representasteis,representaron
